timestamp;temperature_2m
2026-03-27 00:00:00;3.2
2026-03-27 01:00:00;3.3
2026-03-27 02:00:00;3.6
2026-03-27 03:00:00;3.4
2026-03-27 04:00:00;3.3
2026-03-27 05:00:00;3.2
2026-03-27 06:00:00;3.4
2026-03-27 07:00:00;3.8
2026-03-27 08:00:00;4.0
2026-03-27 09:00:00;4.3
2026-03-27 10:00:00;4.4
2026-03-27 11:00:00;4.1
2026-03-27 12:00:00;4.2
2026-03-27 13:00:00;4.1
2026-03-27 14:00:00;4.2
2026-03-27 15:00:00;3.5
2026-03-27 16:00:00;3.2
2026-03-27 17:00:00;2.8
2026-03-27 18:00:00;2.6
2026-03-27 19:00:00;2.6
2026-03-27 20:00:00;2.6
2026-03-27 21:00:00;2.6
2026-03-27 22:00:00;2.7
2026-03-27 23:00:00;2.6
2026-03-28 00:00:00;2.7
2026-03-28 01:00:00;2.8
2026-03-28 02:00:00;2.8
2026-03-28 03:00:00;2.6
2026-03-28 04:00:00;2.5
2026-03-28 05:00:00;2.5
2026-03-28 06:00:00;2.5
2026-03-28 07:00:00;3.0
2026-03-28 08:00:00;3.4
2026-03-28 09:00:00;4.8
2026-03-28 10:00:00;5.8
2026-03-28 11:00:00;6.1
2026-03-28 12:00:00;5.6
2026-03-28 13:00:00;5.8
2026-03-28 14:00:00;5.9
2026-03-28 15:00:00;5.7
2026-03-28 16:00:00;5.3
2026-03-28 17:00:00;5.3
2026-03-28 18:00:00;5.0
2026-03-28 19:00:00;4.8
2026-03-28 20:00:00;5.1
2026-03-28 21:00:00;5.3
2026-03-28 22:00:00;5.4
2026-03-28 23:00:00;5.3
